ID,Sheet,Group,Spanish,WR_File,WR_Status,WR_Note,LL_File,LL_Status,LL_Speaker,TTS_File,TTS_Status
greetings_hola,"Greetings, Basics and Pronouns",greetings-basics-pronouns,hola,greetings_hola_1.mp3,skip,,greetings_hola_2.mp3,skip,CaroEspinoza,greetings_hola_3.mp3,skip
greetings_adiós,"Greetings, Basics and Pronouns",greetings-basics-pronouns,adiós,greetings_adiós_1.mp3,skip,,,no recording,,greetings_adiós_3.mp3,skip
greetings_buenos-días,"Greetings, Basics and Pronouns",greetings-basics-pronouns,buenos días,greetings_buenos-días_1.mp3,skip,,greetings_buenos-días_2.mp3,skip,Rodrigo5260,greetings_buenos-días_3.mp3,skip
greetings_buenas-tardes,"Greetings, Basics and Pronouns",greetings-basics-pronouns,buenas tardes,greetings_buenas-tardes_1.mp3,skip,,greetings_buenas-tardes_2.mp3,skip,Marreromarco,greetings_buenas-tardes_3.mp3,skip
greetings_buenas-noches,"Greetings, Basics and Pronouns",greetings-basics-pronouns,buenas noches,greetings_buenas-noches_1.mp3,skip,,greetings_buenas-noches_2.mp3,skip,Marreromarco,greetings_buenas-noches_3.mp3,skip
greetings_hasta-luego,"Greetings, Basics and Pronouns",greetings-basics-pronouns,hasta luego,greetings_hasta-luego_1.mp3,skip,,,no recording,,greetings_hasta-luego_3.mp3,skip
greetings_hasta-pronto,"Greetings, Basics and Pronouns",greetings-basics-pronouns,hasta pronto,greetings_hasta-pronto_1.mp3,skip,,,no recording,,greetings_hasta-pronto_3.mp3,skip
greetings_hasta-mañana,"Greetings, Basics and Pronouns",greetings-basics-pronouns,hasta mañana,greetings_hasta-mañana_1.mp3,skip,,,no recording,,greetings_hasta-mañana_3.mp3,skip
greetings_nos-vemos,"Greetings, Basics and Pronouns",greetings-basics-pronouns,nos vemos,,no audio,,,no recording,,greetings_nos-vemos_3.mp3,skip
greetings_chao,"Greetings, Basics and Pronouns",greetings-basics-pronouns,chao,greetings_chao_1.mp3,skip,,greetings_chao_2.mp3,skip,Marreromarco,greetings_chao_3.mp3,skip
