Sheet,Spanish (Spain),Phonetics,Kind
"Greetings, Basics and Pronouns",hola,/ola/,exact
"Greetings, Basics and Pronouns",adiós,/aˈðjos/,exact
"Greetings, Basics and Pronouns",buenos días,/bwenos ˈdias/,composed
"Greetings, Basics and Pronouns",buenas tardes,/bwenas taɾðes/,composed
"Greetings, Basics and Pronouns",buenas noches,/bwenas notʃes/,composed
"Greetings, Basics and Pronouns",hasta luego,/asta lweɣo/,composed
"Greetings, Basics and Pronouns",hasta pronto,/asta pɾonto/,composed
"Greetings, Basics and Pronouns",hasta mañana,/asta maɲana/,composed
"Greetings, Basics and Pronouns",nos vemos,/nos bemos/,composed
"Greetings, Basics and Pronouns",chao,,missing
"Greetings, Basics and Pronouns",gracias,/gɾaθjas/,exact
"Greetings, Basics and Pronouns",muchas gracias,/mutʃas gɾaθjas/,composed
"Greetings, Basics and Pronouns",de nada,/de naða/,composed
"Greetings, Basics and Pronouns",por favor,/poɾ faβoɾ/,composed
"Greetings, Basics and Pronouns",lo siento,/lo sjento/,composed
"Greetings, Basics and Pronouns",perdón,/peˈɾðon/,exact
"Greetings, Basics and Pronouns",disculpe,/diskulpe/,exact
"Greetings, Basics and Pronouns",sí,/ˈsi/,exact
"Greetings, Basics and Pronouns",no,/no/,exact
"Greetings, Basics and Pronouns",vale,/bale/,exact
"Greetings, Basics and Pronouns",claro,/klaɾo/,exact
"Greetings, Basics and Pronouns",por supuesto,/poɾ supwesto/,composed
"Greetings, Basics and Pronouns",bienvenido,/bjembeniðo/,exact
"Greetings, Basics and Pronouns",¿qué tal?,/ˈke tal/,composed
"Greetings, Basics and Pronouns",¿cómo estás?,/ˈkomo eˈstas/,composed
"Greetings, Basics and Pronouns",bien,/bjen/,exact
"Greetings, Basics and Pronouns",mal,/mal/,exact
"Greetings, Basics and Pronouns",más o menos,/ˈmas o menos/,composed
"Greetings, Basics and Pronouns",me llamo,/me ʎamo/,composed
"Greetings, Basics and Pronouns",mucho gusto,/mutʃo gusto/,composed
"Greetings, Basics and Pronouns",encantado,/eŋkantaðo/,exact
"Greetings, Basics and Pronouns",igualmente,/iɣwalmente/,exact
"Greetings, Basics and Pronouns",felicidades,/feliθiðaðes/,exact
"Greetings, Basics and Pronouns",feliz cumpleaños,/feliθ kumpleaɲos/,composed
"Greetings, Basics and Pronouns",salud,/saluð/,exact
"Greetings, Basics and Pronouns",buen provecho,/bwen pɾoβetʃo/,composed
"Greetings, Basics and Pronouns",cuídate,,missing
"Greetings, Basics and Pronouns",no entiendo,/no entjendo/,composed
"Greetings, Basics and Pronouns",¿puede repetir?,/pweðe repetiɾ/,composed
"Greetings, Basics and Pronouns",¿hablas inglés?,/aβlas iˈŋgles/,composed
"Greetings, Basics and Pronouns",con permiso,/kon peɾmiso/,composed
"Greetings, Basics and Pronouns",no importa,/no impoɾta/,composed
"Greetings, Basics and Pronouns",¡qué bien!,/ˈke bjen/,composed
"Greetings, Basics and Pronouns",¡qué pena!,/ˈke pena/,composed
"Greetings, Basics and Pronouns",buena suerte,/bwena sweɾte/,composed
"Greetings, Basics and Pronouns",oye,/oʝe/,exact
"Greetings, Basics and Pronouns",vamos,/bamos/,exact
"Greetings, Basics and Pronouns",ojalá,/oxaˈla/,exact
"Greetings, Basics and Pronouns",uf,/uf/,exact
"Greetings, Basics and Pronouns",ay,/ˈaj/,exact
"Greetings, Basics and Pronouns",vaya,/baʝa/,exact
"Greetings, Basics and Pronouns",genial,/xenjal/,exact
"Greetings, Basics and Pronouns",estupendo,/estupendo/,exact
"Greetings, Basics and Pronouns",fenomenal,/fenomenal/,exact
"Greetings, Basics and Pronouns",yo,/ʝo/,exact
"Greetings, Basics and Pronouns",tú,/ˈtu/,exact
